workout_log_id,member_id,workout_date,workout_time,exercise_name,exercise_type,muscle_group,difficulty,sets_completed,reps_per_set,weight_kg,duration_minutes,calories_burned,intensity_level,heart_rate_avg,notes
WL00000017,MEM001691,2024-05-07,06:47:00,Standing Dumbbell Calf Raise,strength,calves,intermediate,2,12,94.8,33,218.5,Very High,156.0,Good progress
WL00000018,MEM000961,2024-05-17,12:43:00,Olympic Squat,olympic_weightlifting,quadriceps,beginner,3,15,0.0,40,181.2,Very High,175.0,Great workout!
WL00000019,MEM000192,2024-05-21,10:50:00,HM Right Leg Swing,stretching,abductors,intermediate,4,19,0.0,42,281.3,High,122.0,Personal best!
WL00000020,MEM000767,2024-08-28,21:06:00,Romanian Deadlift from Deficit,olympic_weightlifting,hamstrings,beginner,3,11,0.0,73,291.3,Moderate,131.0,Great workout!
WL00000021,MEM002243,2024-09-03,12:27:00,Donkey Calf Raise - Gethin Variation,strength,calves,intermediate,3,10,54.4,41,133.3,High,112.0,Felt strong today
WL00000022,MEM001062,2024-03-19,22:23:00,Seated Head Harness Neck Resistance,strength,neck,beginner,4,18,74.0,47,146.1,Moderate,158.0,Felt strong today
WL00000023,MEM000669,2024-01-29,17:03:00,Barbell walking lunge,strength,quadriceps,intermediate,3,9,55.3,56,424.4,Moderate,131.0,Felt strong today
WL00000024,MEM001376,2024-06-16,07:23:00,Power snatch-,olympic_weightlifting,quadriceps,expert,2,19,0.0,18,97.9,High,,Good progress
WL00000025,MEM000074,2024-09-30,13:40:00,Sumo deadlift,powerlifting,hamstrings,beginner,5,6,0.0,90,700.2,Low,134.0,Felt strong today
WL00000026,MEM001928,2024-03-18,07:37:00,Tire flip,strongman,quadriceps,intermediate,4,11,0.0,65,294.3,Moderate,147.0,Good progress
WL00000027,MEM000064,2024-02-14,21:04:00,Suspended Hip Thrust,strength,glutes,beginner,3,11,38.7,19,146.4,Low,,Felt strong today
WL00000028,MEM000998,2024-06-25,14:39:00,T-Bar Row with Handle,strength,middle_back,intermediate,2,11,108.7,43,285.8,High,108.0,Personal best!
WL00000029,MEM002081,2024-08-28,08:57:00,Machine low row-,strength,traps,intermediate,2,11,105.3,55,263.4,Very High,155.0,Felt strong today
WL00000030,MEM001809,2024-03-29,18:07:00,Stair climber,cardio,quadriceps,intermediate,3,10,0.0,67,283.4,Very High,117.0,Great workout!
WL00000031,MEM000047,2024-12-09,09:00:00,Partner Flat-Bench Back Extension,strength,lower_back,beginner,4,20,142.5,70,293.1,Low,158.0,Challenging but rewarding
WL00000032,MEM001498,2024-02-07,22:42:00,Neck Bridge Prone,strength,neck,beginner,4,6,46.9,22,100.6,Very High,164.0,Good progress
WL00000033,MEM001269,2024-12-07,11:44:00,EZ-Bar Curl,strength,biceps,intermediate,5,15,69.6,24,108.7,Very High,103.0,Personal best!
WL00000034,MEM001077,2024-01-22,14:48:00,Hip Circles (Prone),stretching,abductors,intermediate,2,7,0.0,20,67.9,Very High,,
WL00000035,MEM002180,2024-02-19,20:53:00,Axle Deadlift,strongman,lower_back,beginner,2,17,0.0,42,252.0,Low,168.0,Personal best!
WL00000036,MEM000627,2024-04-16,17:15:00,Barbell Bench Press - Medium Grip,strength,chest,intermediate,2,10,120.9,65,408.3,Low,152.0,Personal best!
WL00000037,MEM001791,2024-08-30,06:22:00,Elbow-to-knee crunch,strength,abdominals,intermediate,4,7,81.5,60,459.8,Low,175.0,Challenging but rewarding
WL00000038,MEM002465,2024-06-20,10:24:00,Hip Circles (Prone),stretching,abductors,intermediate,5,18,0.0,86,488.6,Very High,122.0,Personal best!
WL00000039,MEM000446,2024-01-18,05:46:00,Standing behind-the-back wrist curl,strength,forearms,beginner,2,13,142.6,77,291.3,Low,137.0,Challenging but rewarding
WL00000040,MEM001007,2024-03-20,14:01:00,Power Clean from Blocks,olympic_weightlifting,hamstrings,beginner,3,13,0.0,41,195.1,Very High,166.0,Felt strong today
WL00000041,MEM002382,2024-01-15,21:48:00,Dumbbell Bench Press,strength,chest,intermediate,3,6,116.5,71,551.1,High,113.0,
WL00000042,MEM001142,2024-05-10,07:16:00,Muscle Up,strength,lats,intermediate,4,10,93.1,41,207.4,Very High,161.0,Good progress
WL00000043,MEM000054,2024-10-15,18:28:00,Rickshaw Carry,strongman,forearms,beginner,2,12,0.0,63,355.0,High,108.0,Personal best!
WL00000044,MEM001510,2024-06-21,14:22:00,HM Right Leg Swing,stretching,abductors,intermediate,5,20,0.0,27,92.3,Very High,105.0,Good progress
WL00000045,MEM000661,2024-12-08,07:32:00,Bottoms Up,strength,abdominals,intermediate,4,19,63.3,53,225.0,Low,180.0,
WL00000046,MEM001897,2024-08-12,09:22:00,Palms-up wrist curl over bench,strength,forearms,intermediate,3,15,140.1,17,112.2,High,,Challenging but rewarding
WL00000047,MEM000747,2024-06-18,20:50:00,Yoga plex,stretching,lower_back,intermediate,3,9,0.0,75,488.8,Moderate,102.0,
WL00000048,MEM000951,2024-04-12,10:53:00,UNS Foam Roll Adductor,strength,adductors,intermediate,2,12,76.8,86,464.8,Very High,113.0,Good progress
WL00000049,MEM002383,2024-05-24,08:09:00,Groiners,stretching,adductors,beginner,5,16,0.0,34,104.1,High,107.0,Felt strong today
WL00000050,MEM000171,2024-07-10,06:21:00,Olympic Squat,olympic_weightlifting,quadriceps,beginner,4,11,0.0,56,174.7,High,175.0,Great workout!
WL00000051,MEM002309,2024-09-16,20:25:00,Standing Dumbbell Calf Raise,strength,calves,intermediate,2,16,86.7,85,613.2,Very High,130.0,Personal best!
WL00000052,MEM001660,2024-09-18,17:13:00,Romanian Deadlift from Deficit,olympic_weightlifting,hamstrings,beginner,5,8,0.0,54,263.9,Low,125.0,Good progress
WL00000053,MEM002473,2024-05-07,07:18:00,EZ-Bar Skullcrusher,strength,triceps,intermediate,3,18,102.3,18,56.7,Moderate,,Good progress
WL00000054,MEM001343,2024-03-21,13:06:00,Palms-up wrist curl over bench,strength,forearms,intermediate,4,15,140.8,17,92.8,Very High,,Personal best!
WL00000055,MEM000284,2024-10-16,17:09:00,Yoga plex,stretching,lower_back,intermediate,5,11,0.0,49,248.3,Very High,124.0,Good progress
WL00000056,MEM000010,2024-02-21,15:40:00,Single-arm dumbbell row,strength,traps,intermediate,5,8,26.1,34,178.9,Very High,107.0,Great workout!
WL00000057,MEM001279,2024-03-25,14:02:00,Neck-SMR,stretching,neck,intermediate,3,9,0.0,19,69.3,High,,Challenging but rewarding
WL00000058,MEM000240,2024-08-27,07:42:00,Sumo deadlift,powerlifting,hamstrings,beginner,5,19,0.0,28,109.8,High,166.0,Personal best!
WL00000059,MEM001912,2024-01-23,10:49:00,Keg Load,strongman,lower_back,beginner,4,7,0.0,81,587.6,Low,143.0,Great workout!
WL00000060,MEM001234,2024-07-30,10:13:00,Barbell Curl,strength,biceps,intermediate,5,12,11.3,84,588.4,Moderate,162.0,Personal best!
WL00000061,MEM001973,2024-10-10,06:37:00,Groiners,stretching,adductors,beginner,4,18,0.0,50,271.5,Very High,124.0,Challenging but rewarding
WL00000062,MEM000610,2024-02-12,15:53:00,Axle Deadlift,strongman,lower_back,beginner,4,8,0.0,75,371.6,High,138.0,Good progress
WL00000063,MEM001794,2024-03-20,09:16:00,Glute bridge,strength,glutes,intermediate,2,8,28.2,48,310.6,Very High,124.0,
WL00000064,MEM000569,2024-02-06,07:19:00,Keg Load,strongman,lower_back,beginner,3,19,0.0,74,308.8,High,105.0,Felt strong today
WL00000065,MEM000188,2024-02-07,17:40:00,HM Left Leg Swing,strength,adductors,intermediate,2,20,82.3,34,166.6,Low,133.0,Great workout!
WL00000066,MEM002412,2024-11-05,05:16:00,HM Left Leg Swing,strength,adductors,intermediate,3,16,88.2,15,73.7,Very High,,Great workout!
WL00000067,MEM000708,2024-09-13,09:46:00,Stair climber,cardio,quadriceps,intermediate,2,19,0.0,28,198.0,High,148.0,
WL00000068,MEM000613,2024-12-12,22:42:00,Incline dumbbell reverse fly,strength,shoulders,intermediate,3,20,49.0,77,388.5,Moderate,137.0,Great workout!
WL00000069,MEM000577,2024-01-24,11:48:00,Power Clean from Blocks,olympic_weightlifting,hamstrings,beginner,3,10,0.0,25,110.1,Low,166.0,Great workout!
WL00000070,MEM001071,2024-02-26,12:10:00,Muscle Up,strength,lats,intermediate,2,10,6.4,58,441.3,High,114.0,Challenging but rewarding
WL00000071,MEM001304,2024-10-27,21:23:00,Barbell deficit deadlift,powerlifting,lower_back,beginner,2,10,0.0,54,283.6,Very High,100.0,Personal best!
WL00000072,MEM000728,2024-05-20,14:42:00,Barbell glute bridge,powerlifting,glutes,intermediate,2,18,0.0,64,337.0,Very High,167.0,Felt strong today
WL00000073,MEM001037,2024-02-05,17:17:00,T-Bar Row,strength,middle_back,intermediate,2,9,20.2,60,408.9,High,160.0,Felt strong today
WL00000074,MEM001020,2024-03-19,06:29:00,Rocky Pull-Ups/Pulldowns,strength,lats,beginner,5,11,100.9,75,449.9,High,103.0,Felt strong today
WL00000075,MEM002347,2024-04-19,21:28:00,Dumbbell Flyes,strength,chest,intermediate,5,10,42.4,89,540.0,Low,177.0,Felt strong today
WL00000076,MEM001930,2024-05-06,17:19:00,Leverage Shrug,strength,traps,intermediate,2,17,38.2,51,175.7,Low,100.0,Challenging but rewarding
WL00000077,MEM000099,2024-01-09,07:44:00,Dumbbell spell caster,strength,abdominals,beginner,3,8,66.9,72,342.2,Low,144.0,Challenging but rewarding
WL00000078,MEM001891,2024-07-22,22:38:00,Dumbbell floor press,powerlifting,triceps,intermediate,3,7,0.0,19,64.7,Very High,,
WL00000079,MEM001315,2024-06-19,12:25:00,Barbell glute bridge,powerlifting,glutes,intermediate,4,12,0.0,27,103.4,Low,149.0,Good progress
WL00000080,MEM000202,2024-01-11,14:56:00,Back extension,strength,lower_back,intermediate,2,10,68.9,81,405.0,Very High,174.0,Personal best!
WL00000081,MEM000591,2024-10-29,12:25:00,Incline dumbbell row,strength,middle_back,intermediate,4,14,41.6,23,122.7,Low,103.0,Great workout!
WL00000082,MEM001841,2024-08-21,12:41:00,Palms-down wrist curl over bench,strength,forearms,intermediate,5,6,114.3,71,385.6,Very High,140.0,Personal best!
WL00000083,MEM001880,2024-06-07,06:28:00,Power snatch-,olympic_weightlifting,quadriceps,expert,3,18,0.0,40,283.2,Low,114.0,Great workout!
WL00000084,MEM000638,2024-08-14,06:17:00,Seated Dumbbell Press,strength,shoulders,intermediate,2,15,107.0,69,494.1,Low,121.0,Great workout!
WL00000085,MEM001916,2024-05-17,18:28:00,Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,strength,forearms,beginner,4,10,17.5,60,280.3,High,129.0,Felt strong today
WL00000086,MEM001847,2024-04-29,15:23:00,Seated Dumbbell Press,strength,shoulders,intermediate,4,16,86.9,67,531.0,Moderate,129.0,Personal best!
WL00000087,MEM001456,2024-02-25,16:15:00,Smith machine shrug,strength,traps,intermediate,5,18,103.6,42,278.6,Low,107.0,Good progress
WL00000088,MEM001853,2024-11-12,17:45:00,Standing Dumbbell Shrug - Gethin Variation,strength,traps,intermediate,3,12,95.8,59,240.3,Low,178.0,Challenging but rewarding
WL00000089,MEM001713,2024-11-27,11:36:00,Stair climber,cardio,quadriceps,intermediate,5,9,0.0,28,223.2,High,154.0,
WL00000090,MEM002007,2024-03-20,11:50:00,UNS Foam Roll Adductor,strength,adductors,intermediate,4,14,76.8,34,259.9,High,167.0,Challenging but rewarding
WL00000091,MEM001974,2024-06-17,17:35:00,Straight-bar wrist roll-up,strength,forearms,intermediate,3,19,95.2,76,478.4,Very High,111.0,Good progress
WL00000092,MEM002481,2024-02-10,08:57:00,Barbell glute bridge,powerlifting,glutes,intermediate,3,10,0.0,88,352.3,Very High,177.0,Challenging but rewarding
WL00000093,MEM001246,2024-08-13,08:30:00,FYR Thigh Killa,strength,abductors,intermediate,2,12,5.9,61,353.6,Moderate,140.0,Challenging but rewarding
WL00000094,MEM000682,2024-11-07,15:01:00,Incline Hammer Curls,strength,biceps,beginner,3,7,132.7,30,148.3,Very High,175.0,Personal best!
WL00000095,MEM000798,2024-11-09,17:13:00,Around-the-world pull-up,strength,lats,beginner,3,20,132.2,48,238.4,Very High,101.0,Great workout!
WL00000096,MEM000212,2024-05-31,12:16:00,Chest dip,strength,chest,intermediate,4,11,75.5,44,263.8,Moderate,160.0,
WL00000097,MEM000872,2024-02-20,16:20:00,Standing dumbbell shoulder press,strength,shoulders,intermediate,5,12,143.3,89,696.4,Moderate,177.0,
WL00000098,MEM002396,2024-01-29,06:00:00,Barbell Hip Thrust,powerlifting,glutes,intermediate,4,6,0.0,37,183.0,Low,110.0,Great workout!
WL00000099,MEM000566,2024-12-07,18:04:00,Dumbbell farmer's walk,strongman,forearms,intermediate,2,7,0.0,56,286.8,Very High,124.0,Personal best!
WL00000100,MEM001581,2024-05-12,07:54:00,EZ-Bar Skullcrusher,strength,triceps,intermediate,4,18,113.3,80,272.8,Moderate,100.0,Great workout!
WL00000101,MEM001208,2024-12-10,14:42:00,Dumbbell farmer's walk,strongman,forearms,intermediate,3,16,0.0,39,220.5,Very High,173.0,Personal best!
WL00000102,MEM001457,2024-01-27,13:42:00,Donkey Calf Raise - Gethin Variation,strength,calves,intermediate,5,13,23.5,42,141.5,High,167.0,Great workout!
WL00000103,MEM001303,2024-09-09,16:20:00,Side-lying leg adduction scissor,strength,adductors,intermediate,5,16,40.5,67,487.8,Very High,108.0,Personal best!
WL00000104,MEM002484,2024-03-11,09:01:00,Flexor Incline Dumbbell Curls,strength,biceps,beginner,3,7,117.0,82,470.2,Very High,127.0,Great workout!
WL00000105,MEM001459,2024-09-26,17:04:00,Dumbbell floor press,powerlifting,triceps,intermediate,5,19,0.0,51,184.0,Moderate,103.0,Felt strong today
WL00000106,MEM001782,2024-04-07,18:32:00,FYR Thigh Killa,strength,abductors,intermediate,5,10,115.9,70,422.6,Moderate,140.0,
WL00000107,MEM000718,2024-11-08,05:53:00,Sumo deadlift,powerlifting,hamstrings,beginner,2,12,0.0,74,382.8,Moderate,118.0,Felt strong today
WL00000108,MEM002126,2024-10-22,15:08:00,Zottman Curl,strength,biceps,intermediate,2,17,87.9,44,276.9,Moderate,151.0,Challenging but rewarding
WL00000109,MEM001177,2024-02-22,13:38:00,Hammer Curls,strength,biceps,intermediate,3,12,133.8,45,238.7,High,121.0,Felt strong today
WL00000110,MEM002322,2024-06-09,21:17:00,Pushups,strength,chest,intermediate,3,20,94.2,47,201.7,Moderate,180.0,Challenging but rewarding
WL00000111,MEM001486,2024-10-04,08:04:00,Clean Deadlift,olympic_weightlifting,hamstrings,beginner,5,14,0.0,29,213.5,High,128.0,Felt strong today
WL00000112,MEM002252,2024-01-24,22:31:00,Alternating sit-through with crunch,strength,middle_back,intermediate,5,10,8.5,81,252.9,Very High,110.0,Good progress
WL00000113,MEM000094,2024-06-11,17:44:00,Smith Machine Calf Raise,strength,calves,intermediate,4,15,102.8,22,150.8,Moderate,161.0,Personal best!
WL00000114,MEM001725,2024-09-02,09:01:00,Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,strength,forearms,beginner,2,8,138.7,88,307.1,High,149.0,Felt strong today
WL00000115,MEM001070,2024-08-27,05:13:00,Incline dumbbell bench press,strength,chest,intermediate,3,7,64.8,65,323.5,Moderate,124.0,Good progress
WL00000116,MEM000993,2024-09-17,10:39:00,Lateral cone hop,plyometrics,adductors,intermediate,4,7,0.0,83,579.5,High,144.0,
WL00000117,MEM001820,2024-11-13,11:38:00,Seated Glute Stretch,stretching,glutes,beginner,5,13,0.0,44,290.7,High,162.0,Personal best!
WL00000118,MEM002426,2024-06-10,09:16:00,Chin To Chest Stretch,stretching,neck,intermediate,4,7,0.0,87,679.3,Very High,134.0,
WL00000119,MEM000516,2024-02-13,19:00:00,HM Left Leg Swing,strength,adductors,intermediate,2,7,74.5,42,333.4,Moderate,167.0,Challenging but rewarding
WL00000120,MEM000803,2024-03-16,08:06:00,Tire flip,strongman,quadriceps,intermediate,4,12,0.0,74,541.3,Moderate,146.0,Personal best!
WL00000121,MEM002159,2024-05-29,05:34:00,HM Right Leg Swing,stretching,abductors,intermediate,3,9,0.0,41,129.3,Low,146.0,Challenging but rewarding
WL00000122,MEM001286,2024-05-07,10:40:00,Clean Deadlift,olympic_weightlifting,hamstrings,beginner,2,17,0.0,80,519.8,High,171.0,Felt strong today
WL00000123,MEM000655,2024-09-18,06:56:00,Seated Head Harness Neck Resistance,strength,neck,beginner,5,9,144.4,36,251.9,Very High,166.0,Personal best!
WL00000124,MEM002189,2024-04-13,16:48:00,T-Bar Row with Handle,strength,middle_back,intermediate,2,8,97.3,44,289.6,High,169.0,Good progress
WL00000125,MEM001630,2024-03-17,19:54:00,Exercise ball rear delt fly,strength,lower_back,intermediate,3,6,73.4,15,49.8,Low,,Personal best!
WL00000126,MEM000374,2024-05-31,10:31:00,Weighted bench dip,strength,triceps,intermediate,3,14,73.1,23,119.2,Very High,126.0,
WL00000127,MEM000467,2024-07-21,15:22:00,Power snatch-,olympic_weightlifting,quadriceps,expert,4,7,0.0,35,214.3,High,111.0,
WL00000128,MEM000384,2024-01-10,14:44:00,Partner bench back extension,strength,lower_back,beginner,2,11,133.3,19,105.8,High,,
WL00000129,MEM002463,2024-03-06,05:13:00,Seated One-Arm Dumbbell Palms-Up Wrist Curl,strength,forearms,beginner,3,12,132.2,41,264.5,Very High,101.0,Challenging but rewarding
WL00000130,MEM001926,2024-03-09,21:14:00,Single-Leg Press,strength,quadriceps,intermediate,3,9,51.7,34,228.8,Low,124.0,
WL00000131,MEM002042,2024-05-19,19:21:00,Single-arm kettlebell push-press,strength,shoulders,intermediate,3,20,123.8,50,199.4,Moderate,173.0,Great workout!
WL00000132,MEM000685,2024-08-10,08:55:00,Atlas Stones,strongman,lower_back,intermediate,3,19,0.0,86,271.0,Very High,150.0,Felt strong today
WL00000133,MEM001683,2024-03-04,22:30:00,Walking High Knee,strength,glutes,intermediate,5,19,135.5,69,418.2,High,101.0,Felt strong today
WL00000134,MEM000634,2024-04-15,13:04:00,Barbell deficit deadlift,powerlifting,lower_back,beginner,2,10,0.0,62,272.3,Low,149.0,Great workout!
WL00000135,MEM000008,2024-08-11,05:43:00,Standing hip circle,stretching,abductors,intermediate,5,10,0.0,89,473.6,High,137.0,
WL00000136,MEM002048,2024-06-18,14:09:00,Alternating sit-through with crunch,strength,middle_back,intermediate,2,7,52.7,27,147.1,Very High,121.0,Personal best!
WL00000137,MEM002392,2024-01-02,05:41:00,Barbell walking lunge,strength,quadriceps,intermediate,3,10,18.9,60,181.8,Very High,178.0,Personal best!
WL00000138,MEM001981,2024-07-31,10:45:00,Machine Shrug - Gethin Variation,strength,traps,intermediate,2,17,109.2,39,140.8,High,147.0,Felt strong today
WL00000139,MEM001728,2024-05-05,15:32:00,One-Arm Long Bar Row,strength,middle_back,intermediate,3,8,100.8,85,652.6,Moderate,158.0,
WL00000140,MEM001193,2024-08-15,14:31:00,Dumbbell front raise to lateral raise,strength,shoulders,intermediate,4,9,55.7,49,328.3,Very High,122.0,Good progress
WL00000141,MEM001282,2024-12-12,15:49:00,HM Left Leg Swing,strength,adductors,intermediate,3,15,57.8,28,96.2,Moderate,141.0,Good progress
WL00000142,MEM001979,2024-09-16,22:34:00,Standing Dumbbell Calf Raise,strength,calves,intermediate,5,19,31.3,72,469.5,Moderate,151.0,Great workout!
WL00000143,MEM001008,2024-04-23,05:15:00,Single Leg Push-off,plyometrics,quadriceps,beginner,2,13,0.0,50,282.9,Low,132.0,Good progress
WL00000144,MEM001471,2024-09-30,22:27:00,Chin To Chest Stretch,stretching,neck,intermediate,2,17,0.0,90,481.9,Low,139.0,Felt strong today
WL00000145,MEM002003,2024-04-01,14:42:00,Shotgun row,strength,lats,intermediate,3,11,143.8,57,444.5,High,176.0,Felt strong today
WL00000146,MEM001717,2024-01-24,15:28:00,Military press,strength,shoulders,intermediate,4,17,120.1,87,437.9,Very High,176.0,Personal best!
WL00000147,MEM001953,2024-02-15,22:14:00,Standing Dumbbell Shrug - Gethin Variation,strength,traps,intermediate,2,16,32.3,72,572.2,Low,139.0,Good progress
WL00000148,MEM000831,2024-08-27,08:05:00,Partner bench back extension,strength,lower_back,beginner,5,8,69.1,47,217.4,Very High,100.0,Personal best!
WL00000149,MEM001875,2024-10-18,08:56:00,Pull-up,strength,lats,beginner,4,14,87.7,19,132.8,High,,
WL00000150,MEM000529,2024-03-26,21:38:00,Dynamic pigeon stretch,strength,abductors,intermediate,3,7,117.6,40,195.8,Very High,107.0,Great workout!
WL00000151,MEM001783,2024-09-20,21:40:00,Elbow-to-knee crunch,strength,abdominals,intermediate,3,10,71.5,24,87.6,Moderate,100.0,
WL00000152,MEM001099,2024-09-10,20:36:00,Isometric Neck Exercise - Front And Back,strength,neck,beginner,4,12,135.9,29,195.4,Moderate,159.0,Great workout!
WL00000153,MEM001855,2024-11-20,12:13:00,Barbell walking lunge,strength,quadriceps,intermediate,4,17,62.1,21,158.8,Very High,169.0,Personal best!
WL00000154,MEM000251,2024-12-12,22:55:00,Hammer Curls,strength,biceps,intermediate,4,20,125.2,80,386.2,Very High,165.0,
WL00000155,MEM001312,2024-02-23,12:03:00,Clean and press,strength,shoulders,intermediate,4,18,39.1,88,469.7,Low,100.0,Challenging but rewarding
WL00000156,MEM002218,2024-05-01,14:50:00,Power Clean from Blocks,olympic_weightlifting,hamstrings,beginner,5,15,0.0,51,309.9,High,140.0,Challenging but rewarding
WL00000157,MEM001383,2024-12-16,06:28:00,Dumbbell Flyes,strength,chest,intermediate,4,19,121.0,50,177.6,Very High,174.0,Felt strong today
WL00000158,MEM002138,2024-08-06,12:19:00,Hip Circles (Prone),stretching,abductors,intermediate,3,12,0.0,58,256.6,Very High,145.0,Personal best!
WL00000159,MEM001240,2024-02-25,21:13:00,Band Hip Adductions,strength,adductors,beginner,5,6,140.8,48,203.9,High,180.0,
WL00000160,MEM000111,2024-10-17,16:32:00,Glute bridge,strength,glutes,intermediate,2,13,122.8,88,689.1,High,157.0,Personal best!
WL00000161,MEM002009,2024-04-24,20:33:00,UNS Foam Roll Adductor,strength,adductors,intermediate,5,11,65.4,85,285.6,High,127.0,Good progress
WL00000162,MEM000938,2024-12-12,19:41:00,Hammer Curls,strength,biceps,intermediate,2,13,126.9,41,134.6,Low,159.0,Challenging but rewarding
WL00000163,MEM000890,2024-07-17,05:41:00,Exercise ball rear delt fly,strength,lower_back,intermediate,2,20,138.6,39,178.7,Low,162.0,Personal best!
WL00000164,MEM002378,2024-09-30,21:20:00,Incline dumbbell reverse fly,strength,shoulders,intermediate,3,12,89.7,34,134.4,High,101.0,Felt strong today
WL00000165,MEM001611,2024-04-06,22:21:00,Traveling thigh killa,strength,abductors,intermediate,5,15,90.2,58,211.7,Low,123.0,Felt strong today
WL00000166,MEM000823,2024-02-14,10:29:00,Hammer Curls,strength,biceps,intermediate,3,20,124.1,65,297.4,Moderate,140.0,
WL00000167,MEM000121,2024-12-09,06:12:00,Rocky Pull-Ups/Pulldowns,strength,lats,beginner,4,18,22.2,72,272.1,Moderate,116.0,Felt strong today
WL00000168,MEM001291,2024-05-17,15:56:00,Pushups,strength,chest,intermediate,5,13,15.9,69,480.3,Low,174.0,Felt strong today
WL00000169,MEM001567,2024-07-01,06:58:00,Side-To-Side Adductor Stretch,strength,adductors,intermediate,4,11,55.0,72,571.2,Moderate,104.0,Great workout!
WL00000170,MEM000782,2024-07-29,14:16:00,Single-arm kettlebell push-press,strength,shoulders,intermediate,2,13,41.5,39,198.5,High,172.0,Good progress
WL00000171,MEM000905,2024-08-28,12:59:00,Single-Leg Press,strength,quadriceps,intermediate,5,7,116.1,28,161.1,Low,118.0,Challenging but rewarding
WL00000172,MEM000930,2024-12-12,17:06:00,Suspended ab fall-out,strength,abdominals,intermediate,2,19,65.7,18,93.4,Moderate,,Felt strong today
WL00000173,MEM001192,2024-03-17,14:18:00,Smith Machine Calf Raise,strength,calves,intermediate,3,16,108.0,18,86.8,Very High,,Personal best!
WL00000174,MEM001500,2024-06-29,15:51:00,Close-grip pull-down,strength,lats,intermediate,3,16,5.6,47,228.2,High,174.0,Good progress
WL00000175,MEM001948,2024-01-27,20:31:00,Pushups,strength,chest,intermediate,3,12,35.8,57,293.2,Very High,168.0,Personal best!
WL00000176,MEM002344,2024-12-10,20:26:00,Alternating sit-through with crunch,strength,middle_back,intermediate,4,20,120.1,44,274.2,Moderate,173.0,
WL00000177,MEM001638,2024-11-03,21:11:00,Lateral cone hop,plyometrics,adductors,intermediate,2,10,0.0,67,212.8,Moderate,151.0,Personal best!
WL00000178,MEM000762,2024-07-12,10:09:00,Single-arm palm-in dumbbell shoulder press,strength,shoulders,intermediate,3,12,134.0,87,268.6,Low,172.0,Challenging but rewarding
WL00000179,MEM000536,2024-07-10,06:27:00,Barbell Curl,strength,biceps,intermediate,4,16,8.4,28,148.1,Very High,103.0,
WL00000180,MEM000123,2024-02-04,11:16:00,Reverse Grip Triceps Pushdown,strength,triceps,intermediate,4,16,20.6,19,62.3,High,,Personal best!
WL00000181,MEM000046,2024-01-17,17:11:00,Machine Shrug - Gethin Variation,strength,traps,intermediate,5,12,91.9,35,264.7,Low,170.0,
